Sigla_uf,Nome_municipio,Entidade_executora,Cod_ibge,Cnpj,Valor_per_capita,Aut_repasse_delegacao_rede,Prev_ed_infantil,Desc_ed_infantil,Vl_pagar_ed_infantil,Prev_ens_fundamental,Desc_ens_fundamental,Vl_pagar_ens_fundamental,Prev_ens_medio,Desc_ens_medio,Vl_pagar_ens_medio,Data_arquivo
PA,SOURE,PREF MUN DE SOURE,1507904,05133863000150,162.02,Sim,"3564,44",0,"3564,44","23492,9",0,"23492,9","7452,92",0,"7452,92",2025-09-01
PA,TAILâNDIA,PREF MUN DE TAILANDIA,1507953,22941355000118,179.29,Sim,"33885,81",0,"33885,81","427785,94",0,"427785,94","133929,63",0,"133929,63",2025-09-01
PA,TERRA ALTA,PREF MUN DE TERRA ALTA,1507961,34823518000147,157.04,Sim,"6124,56",0,"6124,56","76007,36",0,"76007,36",54964,0,54964,2025-09-01
PA,TERRA SANTA,PREF MUN DE TERRA SANTA,1507979,23060866000193,183.96,Sim,"12877,2",0,"12877,2","109272,24","4619,96","104652,28","5150,88",0,"5150,88",2025-09-01
PA,TOMé-AçU,PREF MUN DE TOME-ACU,1508001,05196530000170,176.96,Sim,"101044,16",0,"101044,16","892940,16",0,"892940,16","275172,8",0,"275172,8",2025-09-01
PA,TRACUATEUA,PREF MUN DE TRACUATEUA,1508035,01612999000192,165.35,Sim,"14220,1",0,"14220,1","323259,25",0,"323259,25","121366,9",0,"121366,9",2025-09-01
PA,TRAIRãO,PREF MUN DE TRAIRAO,1508050,10221760000182,188.59,Sim,"20744,9",0,"20744,9","112588,23",0,"112588,23","35832,1",0,"35832,1",2025-09-01
PA,TUCUMã,PREF MUN DE TUCUMA,1508084,22981088000102,182.77,Sim,"18642,54",0,"18642,54","170707,18",0,"170707,18","11514,51",0,"11514,51",2025-09-01
PA,TUCURUí,PREF MUN DE TUCURUI,1508100,05251632000141,176.96,Sim,"8140,16",0,"8140,16","315873,6","52206,08","263667,52","32560,64",0,"32560,64",2025-09-01
PA,ULIANóPOLIS,PREF MUN DE ULIANOPOLIS,1508126,83334672000160,176.96,Sim,"15041,6",0,"15041,6","209166,72",0,"209166,72","58927,68",0,"58927,68",2025-09-01
PA,URUARá,PREF MUN DE URUARA,1508159,34593541000192,188.58,Sim,"112770,84",0,"112770,84","815231,34",0,"815231,34","45447,78",0,"45447,78",2025-09-01
PA,VIGIA,PREF MUN DE VIGIA,1508209,05351606000195,157.6,Não,"21433,6",0,"21433,6","78327,2",0,"78327,2",0,0,0,2025-09-01
PA,VISEU,PREF MUN DE VISEU,1508308,04873618000117,188.58,Sim,"7731,78",0,"7731,78","253451,52",0,"253451,52","183488,34",0,"183488,34",2025-09-01
PA,VITóRIA DO XINGU,PREF MUN DE VITORIA DO XINGU,1508357,34887935000153,184.72,Sim,"48027,2",0,"48027,2","244384,56",0,"244384,56","18656,72",0,"18656,72",2025-09-01
PA,XINGUARA,PREF MUN DE XINGUARA,1508407,04144150000120,169.37,Sim,"24389,28",0,"24389,28","180209,68",0,"180209,68","26760,46",0,"26760,46",2025-09-01
PB,ÁGUA BRANCA,PREF MUN DE AGUA BRANCA,2500106,09145368000112,162.02,Sim,"6966,86",0,"6966,86","90245,14",0,"90245,14","36616,52",0,"36616,52",2025-09-01
PB,AGUIAR,PREF MUN DE AGUIAR,2500205,08939944000130,165.82,Sim,"7296,08",0,"7296,08","55052,24",0,"55052,24","17411,1",0,"17411,1",2025-09-01
PB,ALAGOA GRANDE,PREF MUN DE ALAGOA GRANDE,2500304,08753204000105,159.89,Sim,"6875,27",0,"6875,27","88579,06",0,"88579,06","38053,82",0,"38053,82",2025-09-01
PB,ALAGOA NOVA,PREF MUN DE ALAGOA NOVA,2500403,08700684000146,153.96,Sim,"2771,28",0,"2771,28","77903,76","1738,14","76165,62","32793,48",0,"32793,48",2025-09-01
PB,ALAGOINHA,PREF MUN DE ALAGOINHA,2500502,08926263000138,153.96,Sim,"9391,56",0,"9391,56","82060,68",0,"82060,68","33871,2",0,"33871,2",2025-09-01
PB,ALCANTIL,PREF MUN DE ALCANTIL,2500536,01612470000179,165.82,Sim,"10612,48",0,"10612,48","50906,74",0,"50906,74","13431,42",0,"13431,42",2025-09-01
PB,ALGODãO DE JANDAíRA,PREF MUN DE ALGODAO DE JANDAIRA,2500577,01612471000113,165.82,Sim,"6301,16",0,"6301,16","40460,08",0,"40460,08","6632,8",0,"6632,8",2025-09-01
PB,ALHANDRA,PREF MUN DE ALHANDRA,2500601,08778318000100,155.93,Sim,"16060,79",0,"16060,79","92154,63",0,"91226,19","25260,66",0,"25260,66",2025-09-01
